model,provider,model_returned,mode,reasoning,show_thinking,task,item_index,answer_expected,answer_given,parsed,correct,input_tokens,cached_input_tokens,output_tokens,reasoning_tokens,time_to_first_thinking_ms,time_to_first_answer_token_ms,total_latency_ms,finish_reason
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,arithmetic,0,77,77,True,True,97,0,43,32,730.8428999995158,1876.6692999997758,1886.1110999996527,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,arithmetic,0,77,77,True,True,97,0,67,0,,926.3900000005378,1384.7697000001062,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,arithmetic,1,45,45,True,True,87,0,86,14,1340.4356999999436,2819.075899999916,2822.7579999993395,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,arithmetic,1,45,45,True,True,87,0,56,0,,1195.0634000004356,1826.5559000001304,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,arithmetic,2,925,925,True,True,96,0,65,55,1320.4254000002038,4301.390300000094,4327.7992000003,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,arithmetic,2,925,925,True,True,96,0,66,0,,952.8699000002234,1394.520100000591,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,arithmetic,3,48,48,True,True,100,0,35,25,1076.371900000595,3308.4687999999005,3313.9561000007234,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,arithmetic,3,48,48,True,True,100,0,40,0,,1296.1499000000458,2085.0622000000385,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,arithmetic,4,91,91,True,True,93,0,98,45,977.5758000005226,2273.634099999981,2284.3236999997316,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,arithmetic,4,91,91,True,True,93,0,58,0,,1252.923600000031,2144.0647999997964,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,arithmetic,5,143,143,True,True,97,0,44,33,1090.3378000002704,3689.354500000263,3692.0051000006424,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,arithmetic,5,143,143,True,True,97,0,66,0,,912.7967000003991,1396.6801000005944,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,arithmetic,6,96,96,True,True,87,0,36,27,1150.905600000442,2560.230600000068,2616.2156999998842,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,arithmetic,6,96,96,True,True,87,0,40,0,,914.5917999994708,1151.5847000000576,stop
