model,provider,model_returned,mode,reasoning,context_length_tokens,position_percent,fact_index,correct,input_tokens,cached_input_tokens,output_tokens,reasoning_tokens,time_to_first_answer_token_ms,total_latency_ms,finish_reason
Claude Sonnet 5,anthropic,claude-sonnet-5,standard,off,4000,0,0,True,5940,0,4,0,2888.3158999999523,2897.6708999998664,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,standard,off,4000,0,1,True,5572,0,4,0,1699.6154000003116,1781.6842000001998,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,standard,off,4000,0,2,True,5634,0,4,0,1337.557199999992,1412.9507000002377,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,standard,off,4000,0,3,True,5532,0,4,0,1863.0448999997498,1910.3297999999995,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,standard,off,4000,0,4,True,5465,0,4,0,1711.0849000000599,1767.2085999997762,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,standard,off,4000,0,5,True,5783,0,4,0,1745.1684000002388,1811.0810000002857,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,standard,off,4000,25,0,True,5940,0,4,0,3214.1039000000546,3282.4299000001247,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,standard,off,4000,25,1,True,5572,0,4,0,3151.538000000073,3198.7809000002017,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,standard,off,4000,25,2,True,5633,0,4,0,1252.8222000000824,1722.8175999998712,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,standard,off,4000,25,3,True,5531,0,4,0,1133.5457000000133,3505.8751999999913,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,standard,off,4000,25,4,True,5465,0,4,0,1780.8905000001687,1781.8836000001284,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,standard,off,4000,25,5,True,5783,0,4,0,1277.0008000002235,3914.0035000000353,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,standard,off,4000,50,0,True,5939,0,4,0,2863.691900000049,2919.142400000055,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,standard,off,4000,50,1,True,5572,0,4,0,1254.5728999998573,2878.364099999999,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,standard,off,4000,50,2,True,5633,0,4,0,1247.8716000000531,1925.409899999977,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,standard,off,4000,50,3,True,5532,0,4,0,3361.809099999846,3407.3726999999963,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,standard,off,4000,50,4,True,5465,0,4,0,1073.1305999997858,2810.783399999764,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,standard,off,4000,50,5,True,5783,0,4,0,1018.9350000000559,3481.369900000118,stop
